Year,OSHPD ID,Facility Name,County Name,Type of Control,Principal Injury Group,Count
2009,010735,ALAMEDA HOSPITAL,ALAMEDA,District,Rail & Motor Vehicles,2
2009,010735,ALAMEDA HOSPITAL,ALAMEDA,District,Accidental Poisoning,9
2009,010735,ALAMEDA HOSPITAL,ALAMEDA,District,Misadventures/Complications,109
2009,010735,ALAMEDA HOSPITAL,ALAMEDA,District,Accidental Falls,159
2009,010735,ALAMEDA HOSPITAL,ALAMEDA,District,Natural/Environment,3
2009,010735,ALAMEDA HOSPITAL,ALAMEDA,District,Submersion/Suffocation/Foreign Body,5
2009,010735,ALAMEDA HOSPITAL,ALAMEDA,District,Other Accidents,12
2009,010735,ALAMEDA HOSPITAL,ALAMEDA,District,Adverse Effects of Drugs,59
2009,010735,ALAMEDA HOSPITAL,ALAMEDA,District,Self-Inflicted,10
2009,010735,ALAMEDA HOSPITAL,ALAMEDA,District,Inflicted by Others,1
2009,010735,ALAMEDA HOSPITAL,ALAMEDA,District,Late Effects of Injury,20
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Rail & Motor Vehicles,22
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Other Vehicle/Transport,26
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Accidental Poisoning,71
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Misadventures/Complications,31
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Accidental Falls,427
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Fire Accidents,2
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Natural/Environment,10
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Submersion/Suffocation/Foreign Body,22
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Other Accidents,108
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Adverse Effects of Drugs,730
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Self-Inflicted,42
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Inflicted by Others,22
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Undetermined,4
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Late Effects of Injury,26
